Provedora;Consistencia;latencia media;;;;;#;;Country;Mbps
Claro;85.9;45;;;;;1;1;Hong Kong (SAR);265.17
Vivo;82.1;50;;;;;;;;
Tim;81.2;56;;;;;2;-1;Singapore;259.11
Oi;68.9;70;;;;;;;;
;;;;;;;3;-;Chile;246.39
;;;;;;;;;;
;;;Fonte speedtest;;;;4;-;United Arab Emirates;231.98
;;;;;;;;;;
;;;;;;;5;-;Thailand;219.10
;;;;;;;;;;
;;;;;;;6;-;United States;213.75
;;;;;;;;;;
;;;;;;;7;-;China;212.92
;;;;;;;;;;
;;;;;;;8;-;Denmark;204.49
;;;;;;;;;;
;;;;;;;9;-;Spain;188.49
;;;;;;;;;;
;;;;;;;10;-;Iceland;187.57
;;;;;;;;;;
;;;;;;;11;-;France;187.10
;;;;;;;;;;
;;;;;;;12;2;Romania;178.90
;;;;;;;;;;
;;;;;;;13;-;Switzerland;173.77
;;;;;;;;;;
;;;;;;;14;-2;New Zealand;164.84
;;;;;;;;;;
;;;;;;;15;-;Israel;162.05
;;;;;;;;;;
;;;;;;;16;-;Macau (SAR);160.52
;;;;;;;;;;
;;;;;;;17;3;Canada;158.35
;;;;;;;;;;
;;;;;;;18;-;Monaco;157.41
;;;;;;;;;;
;;;;;;;19;5;Japan;157.05
;;;;;;;;;;
;;;;;;;20;7;Hungary;155.56
;;;;;;;;;;
;;;;;;;21;5;Liechtenstein;150.10
;;;;;;;;;;
;;;;;;;22;-1;Kuwait;149.28
;;;;;;;;;;
;;;;;;;23;-4;Qatar;145.01
;;;;;;;;;;
;;;;;;;24;-2;Panama;144.72
;;;;;;;;;;
;;;;;;;25;4;Portugal;143.79
;;;;;;;;;;
;;;;;;;26;-3;Uruguay;143.34
;;;;;;;;;;
;;;;;;;27;-2;Netherlands;143.20
;;;;;;;;;;
;;;;;;;28;-11;Taiwan;138.78
;;;;;;;;;;
;;;;;;;29;16;Andorra;136.33
;;;;;;;;;;
;;;;;;;30;-2;Brazil;131.94
;;;;;;;;;;
;;;;;;;31;1;Poland;124.96
